dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4
0.01,0.01,0.4,40,100.648,79.457,96,-0.0949087,95,9,5,10,1,6,0,5,3,0,-0.00165431,1.00668,1,0.0850707,0.000205774,85.398,73.6377,23.9419,69.2372,94.2509,
0.01,0.01,0.4,40,100.648,79.929,100,-1.31509,98,9,5,11,2,8,0,3,0,0,0.00393953,1.01114,0,0.0916216,0.000249002,85.386,73.6218,23.899,69.2377,94.2654,
0.01,0.01,0.4,40,100.648,79.8378,99,-0.773215,97,6,3,8,2,7,0,10,5,0,-0.0147498,1.00071,1,0.10375,0.000158542,85.3741,73.6029,23.9349,69.2501,94.247,
0.01,0.01,0.4,40,100.648,79.7225,98,-0.133815,97,7,4,9,2,7,1,11,4,0,-0.00902529,1.00895,1,0.094042,0.000247039,85.3825,73.6212,23.9068,69.2484,94.2653,
0.01,0.01,0.4,40,100.648,79.6908,97,-0.387408,96,4,1,8,4,6,2,8,8,0,-0.00113354,1.00371,2,0.0907715,0.000234415,85.3933,73.6223,23.9215,69.2514,94.2562,
0.01,0.01,0.4,40,100.648,81.9802,101,-1.2943,99,4,3,10,6,9,2,6,2,0,0.0054038,1.00548,1,0.1058,0.000146511,85.3821,73.6023,23.9347,69.2518,94.2393,
0.01,0.01,0.4,40,100.648,82.5758,102,-0.468586,101,4,2,9,5,8,2,5,4,0,0.00248372,0.992739,1,0.114873,0.000185251,85.3914,73.6049,23.9361,69.2495,94.258,
0.01,0.01,0.4,40,100.648,83.9671,104,-0.534559,103,8,3,11,3,6,0,3,2,0,0.00327813,1.00434,0,0.119952,0.000168335,85.3763,73.6094,23.9482,69.2406,94.2723,
0.01,0.01,0.4,40,100.648,82.9882,103,-1.03571,102,6,5,11,5,10,4,4,1,0,0.00694862,1.01937,3,0.120449,0.000149478,85.3895,73.6146,23.9527,69.2355,94.256,
0.01,0.01,0.4,40,100.648,85.2607,105,-0.460399,103,5,2,10,5,7,1,9,3,0,0.0102998,0.995553,2,0.119953,0.000119044,85.3957,73.602,23.9387,69.2227,94.2402,
0.01,0.01,0.4,40,100.648,85.3643,106,-0.934625,105,6,3,11,5,7,2,5,3,0,0.00556677,1.00446,1,0.124692,7.13351e-05,85.4017,73.5948,23.9489,69.2154,94.2202,
0.01,0.01,0.4,40,100.648,86.1414,108,-0.102361,103,7,2,10,3,6,1,8,4,0,-0.0173763,0.974865,0,0.122157,0.000134962,85.3817,73.6246,23.9626,69.2355,94.2456,
0.01,0.01,0.4,40,100.648,88.3528,110,-1.30227,109,6,3,10,4,9,1,3,1,0,0.00144847,0.993649,1,0.105372,0.000108048,85.3836,73.6123,23.9449,69.2467,94.2164,
0.01,0.01,0.4,40,100.648,86.1414,107,-1.24067,106,8,3,11,3,8,3,6,3,0,0.0126538,0.984718,1,0.135151,6.66047e-05,85.4108,73.6066,23.9583,69.2094,94.2079,
0.01,0.01,0.4,40,100.648,86.7576,109,-0.1194,105,6,4,9,3,7,1,10,4,0,-0.00697153,1.01075,1,0.116263,0.000102239,85.3782,73.6041,23.9387,69.2274,94.2374,
0.01,0.01,0.4,40,100.648,88.6718,111,-0.628541,107,5,3,12,7,8,2,2,0,0,0.00432559,0.995194,1,0.141803,4.40209e-05,85.3895,73.6026,23.9688,69.2126,94.2114,
0.01,0.01,0.4,40,100.648,89.7529,112,-0.908585,110,6,4,10,4,8,1,4,2,0,0.00876877,0.986705,1,0.0985533,0.000122514,85.369,73.6181,23.9497,69.2497,94.2081,
0.01,0.01,0.4,40,100.648,90.8128,114,-0.651965,111,4,2,10,6,10,3,3,1,0,0.00975887,0.987901,1,0.143038,0.000100635,85.3943,73.6203,23.972,69.2229,94.2083,
0.01,0.01,0.4,40,100.648,90.7707,113,-1.07274,112,5,1,9,4,7,1,8,5,0,0.00644061,1.00802,1,0.0969544,0.00011116,85.3737,73.6142,23.9529,69.2488,94.2217,
0.01,0.01,0.4,40,100.648,90.8676,115,-0.468519,113,4,3,10,6,7,1,6,3,0,-0.00558924,0.999191,1,0.115173,0.000108366,85.3771,73.6231,23.9483,69.2377,94.2208,
0.01,0.01,0.4,40,100.648,92.6846,116,-0.256061,114,6,0,12,6,7,2,4,1,0,0.00645554,0.998741,0,0.151342,2.62311e-05,85.3852,73.606,23.9582,69.2092,94.2098,
0.01,0.01,0.4,40,100.648,93.3815,117,-0.112614,115,5,4,10,5,6,0,9,3,0,-0.00674783,1.0016,2,0.118654,5.42791e-05,85.3827,73.6175,23.9523,69.2164,94.2123,
0.01,0.01,0.4,40,100.648,93.957,118,-1.28955,117,7,1,10,3,9,3,9,3,0,0.0131393,0.992522,2,0.133073,6.73985e-05,85.3659,73.6069,23.9504,69.2185,94.2188,
0.01,0.01,0.4,40,100.648,96.0924,121,-0.465735,118,8,5,10,2,7,2,6,4,0,0.00483134,0.995613,1,0.147358,8.71622e-05,85.3579,73.6085,23.9491,69.2025,94.2249,
0.01,0.01,0.4,40,100.648,95.1813,120,-0.894244,118,5,2,11,6,7,2,3,3,0,-0.00207145,1.00505,1,0.121543,0.000112963,85.3581,73.5906,23.9392,69.2301,94.2221,
0.01,0.01,0.4,40,100.648,97.333,122,-0.0938277,121,8,3,10,2,6,0,4,3,0,-0.0175896,1.01535,0,0.146252,7.77149e-05,85.3735,73.6122,23.9435,69.2171,94.2023,
0.01,0.01,0.4,40,100.648,94.843,119,-1.32206,117,5,2,11,6,8,1,7,1,0,0.0117238,0.981853,1,0.11336,8.43513e-05,85.3893,73.6183,23.9444,69.2067,94.2237,
0.01,0.01,0.4,40,120.77,98.3109,123,-1.3014,120,3,1,11,8,8,4,4,4,0,0.00114562,0.996194,0,0.106403,0.000231679,85.3467,73.6016,23.954,69.2312,94.2233,
0.01,0.01,0.4,40,120.77,98.8544,125,-0.675368,124,5,3,11,6,9,3,2,1,0,0.0104448,1.01145,2,0.110279,0.000269362,85.3829,73.5917,23.9648,69.2074,94.2058,
0.01,0.01,0.4,40,120.77,99.8915,126,-0.394521,125,2,1,12,10,10,5,1,0,0,-0.00412955,0.988077,0,0.13135,0.000274383,85.3857,73.5757,23.9704,69.2091,94.2172,
0.01,0.01,0.4,40,120.77,98.7938,124,-1.0816,119,4,2,12,8,9,4,7,1,0,-0.010792,1.01518,2,0.125076,0.000234445,85.3794,73.6001,23.9605,69.1965,94.2115,
0.01,0.01,0.4,40,120.77,100.094,127,-0.674505,124,1,1,12,11,8,4,2,2,0,-0.00637974,1.01001,0,0.118741,0.000327513,85.3996,73.6161,23.9418,69.1996,94.205,
